0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2007,11.683,34.765,332.35,9483.758,5.086,20.69,12199.23,427.512,0,0,0,0,1,0
2008,-2.394,-7.956,324.395,9075.221,-2.499,-10.683,11661.15,416.829,0,0,0,0,1,0
2009,2.191,7.109,331.503,9095.086,12.031,50.147,12811.9,466.976,0,0,0,0,1,0
2010,8.845,29.321,360.824,9724.905,12.694,59.279,14183.58,526.255,0,0,0,0,1,0
2011,2.83,10.211,371.035,9833.834,3.47,18.26,14431.71,544.515,0,0,0,0,1,0
2012,1.741,6.46,377.495,9834.761,7.042,38.343,15185.02,582.858,0,0,0,0,1,0
2013,5.185,19.575,397.07,10166.21,3.93,22.908,15509.48,605.766,0,0,0,0,1,0
2014,7.781,30.897,427.967,10772.07,7.755,46.978,16429.78,652.744,0,0,0,0,1,0
2015,2.337,10.001,437.969,10839.83,13.824,90.233,18388.86,742.977,0,0,0,0,1,0
2016,-2.39,-10.468,427.5,10401.15,26.625,197.82,22889.75,940.797,0,0,0,0,1,0
2017,-1.108,-4.735,422.765,10109.82,17.235,162.149,26375.38,1102.946,0,0,0,0,1,0
2018,-1.38,-5.835,416.93,9800.897,15.51,171.072,29948.7,1274.019,0,0,0,0,1,0
2019,17.193,71.684,488.614,11290.01,14.678,187.005,33758.67,1461.024,0,0,0,0,1,0
2020,-3.676,-17.959,470.655,10712.84,-0.163,-2.384,33200.89,1458.64,0,0,0,0,1,0
2021,-6.975,-32.827,437.828,9840.593,1.616,23.572,33314.07,1482.212,0,0,0,0,1,0
2022,3.347,14.652,452.481,10046.45,3.1,45.942,33929.66,1528.153,0,0,0,0,1,0
1965,12.596742690058477,96.79230409356725,136.253,798.17,8.31,12.779,975.694,166.558,0,0,0,0,0,1
1966,5.962,8.124,144.377,824.372,6.031,10.045,1008.381,176.603,0,0,0,0,0,1
1967,7.572,10.933,155.309,864.901,7.599,13.42,1058.216,190.023,0,0,0,0,0,1
1968,5.066,7.868,163.178,886.782,7.311,13.892,1108.165,203.915,0,0,0,0,0,1
1969,3.339,5.449,168.627,894.718,5.818,11.863,1144.894,215.777,0,0,0,0,0,1
1970,0.13,0.219,168.846,875.091,-21.593,-46.592,876.848,169.185,0,0,0,0,0,1
1971,2.32,3.917,172.763,874.921,2.474,4.186,878.001,173.372,0,0,0,0,0,1
1972,5.952,10.282,183.046,905.96,5.751,9.97,907.427,183.342,0,0,0,0,0,1
1973,15.298,28.003,211.049,1020.974,16.057,29.44,1029.357,212.782,0,0,0,0,0,1
1974,7.008,14.79,225.839,1068.027,7.059,15.019,1077.305,227.801,0,0,0,0,0,1
1975,0.149,0.336,226.175,1045.888,0.585,1.334,1059.574,229.135,0,0,0,0,0,1
1976,17.181,38.859,265.034,1198.644,12.035,27.577,1161.004,256.712,0,0,0,0,0,1
1977,7.278,19.288,284.323,1257.517,7.524,19.314,1220.823,276.026,0,0,0,0,0,1
1978,2.259,6.424,290.747,1257.409,4.693,12.953,1249.765,288.979,0,0,0,0,0,1
1979,7.933,23.064,313.81,1327.151,3.964,11.456,1270.585,300.435,0,0,0,0,0,1
1980,5.883,18.46,332.27,1374.215,7.812,23.47,1339.619,323.905,0,0,0,0,0,1
1981,2.513,8.349,340.619,1377.875,2.671,8.652,1345.261,332.557,0,0,0,0,0,1
1982,10.018,34.123,374.743,1483.11,8.759,29.13,1431.442,361.687,0,0,0,0,0,1
1983,3.557,13.33,388.072,1502.988,9.619,34.791,1535.545,396.478,0,0,0,0,0,1
1984,8.271,32.096,420.168,1592.991,6.681,26.488,1603.599,422.966,0,0,0,0,0,1
1985,2.079,8.736,428.904,1592.541,2.064,8.728,1602.901,431.694,0,0,0,0,0,1
1986,8.637,37.046,465.95,1695.102,8.916,38.491,1710.51,470.185,0,0,0,0,0,1
1987,-0.181,-0.841,465.109,1658.451,-0.544,-2.56,1667.426,467.626,0,0,0,0,0,1
1988,7.834,36.436,501.544,1753.488,7.615,35.609,1759.398,503.234,0,0,0,0,0,1
1989,4.044,20.281,521.825,1789.515,4.585,23.072,1804.883,526.307,0,0,0,0,0,1
1990,3.553,18.543,540.368,1818.523,3.933,20.699,1840.863,547.006,0,0,0,0,0,1
1991,1.654,8.939,549.306,1815.279,3.946,21.584,1879.004,568.59,0,0,0,0,0,1
1992,3.521,19.339,568.645,1846.446,0.502,2.857,1855.542,571.447,0,0,0,0,0,1
1993,7.154,40.68,609.325,1944.849,5.887,33.641,1931.323,605.088,0,0,0,0,0,1
1994,4.172,25.424,634.749,1992.076,6.105,36.942,2014.925,642.03,0,0,0,0,0,1
1995,10.294,65.341,700.09,2161.129,9.876,63.405,2177.628,705.435,0,0,0,0,0,1
1996,10.468,73.283,773.373,2349.254,10.193,71.904,2361.302,777.339,0,0,0,0,0,1
1997,1.355,10.476,783.848,2343.946,0.726,5.647,2341.365,782.985,0,0,0,0,0,1
1998,7.898,61.911,845.759,2490.582,6.333,49.588,2451.753,832.574,0,0,0,0,0,1
1999,-2.197,-18.584,827.176,2399.936,-0.665,-5.535,2399.539,827.039,0,0,0,0,0,1
2000,5.828,48.211,875.387,2503.721,5.498,45.467,2495.479,872.505,0,0,0,0,0,1
2001,3.935,34.444,909.83,2566.697,4.096,35.739,2562.224,908.245,0,0,0,0,0,1
2002,0.232,2.109,911.94,2538.969,0.54,4.904,2542.335,913.148,0,0,0,0,0,1
2003,3.485,31.777,943.716,2594.727,2.712,24.763,2578.768,937.912,0,0,0,0,0,1
2004,12.306,116.135,1059.851,2879.038,12.751,119.596,2872.673,1057.508,0,0,0,0,0,1
2005,2.947,31.239,1091.09,2929.081,2.72,28.766,2916.152,1086.274,0,0,0,0,0,1
2006,6.371,69.515,1160.605,3080.258,6.023,65.429,3056.631,1151.703,0,0,0,0,0,1
2007,2.555,29.658,1190.263,3124.329,2.769,31.886,3106.812,1183.59,0,0,0,0,0,1
2008,0.63,7.504,1197.767,3110.83,0.84,9.938,3099.818,1193.527,0,0,0,0,0,1
2009,-4.556,-54.568,1143.199,2938.474,-5.636,-67.268,2894.93,1126.259,0,0,0,0,0,1
2010,8.534,97.556,1240.755,3156.509,5.732,64.561,3029.473,1190.82,0,0,0,0,0,1
2011,3.89,48.271,1289.026,3245.811,4.571,54.427,3135.576,1245.247,0,0,0,0,0,1
2012,7.313,94.26,1383.286,3448.155,5.09,63.386,3262.068,1308.634,0,0,0,0,0,1
2013,3.639,50.34,1433.626,3538.524,2.548,33.347,3312.321,1341.98,0,0,0,0,0,1
2014,3.53,50.611,1484.237,3627.798,2.269,30.445,3354.505,1372.425,0,0,0,0,0,1
2015,4.135,61.374,1545.61,3741.18,3.204,43.971,3428.413,1416.396,0,0,0,0,0,1
2016,-0.685,-10.591,1535.02,3680.204,2.904,41.135,3494.425,1457.531,0,0,0,0,0,1
2017,0.46,7.066,1542.086,3663.062,1.851,26.984,3526.309,1484.515,0,0,0,0,0,1
2018,-4.445,-68.553,1473.532,3469.251,-5.145,-76.377,3315.287,1408.138,0,0,0,0,0,1
2019,-5.01,-73.82,1399.713,3267.927,-3.091,-43.532,3185.961,1364.605,0,0,0,0,0,1
2020,-9.049,-126.655,1273.058,2950.102,-8.227,-112.268,2902.084,1252.337,0,0,0,0,0,1
2021,14.837,188.887,1461.945,3366.565,5.469,68.495,3041.609,1320.831,0,0,0,0,0,1
2022,-3.754,-54.879,1407.066,3221.182,2.5,33.026,3099.373,1353.858,0,0,0,0,0,1
