0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1971,14.051,30.678,249.018,113.426,33.334,79.038,144.002,316.145,0,1,0,0,0,0
1972,11.162,27.796,276.814,123.271,17.599,55.637,165.562,371.782,0,1,0,0,0,0
1973,22.233,61.543,338.357,147.33,18.562,69.011,191.933,440.793,0,1,0,0,0,0
1974,18.368,62.151,400.508,170.651,14.098,62.145,214.295,502.938,0,1,0,0,0,0
1975,14.644,58.65,459.158,191.685,11.277,56.717,233.64,559.655,0,1,0,0,0,0
1976,11.341,52.073,511.231,209.291,9.801,54.851,251.57,614.506,0,1,0,0,0,0
1977,21.262,108.698,619.93,248.98,18.963,116.53,293.604,731.037,0,1,0,0,0,0
1978,18.382,113.958,733.887,289.298,10.65,77.859,318.867,808.896,0,1,0,0,0,0
1979,21.869,160.493,894.38,346.0,16.773,135.674,365.416,944.57,0,1,0,0,0,0
1980,4.236,37.886,932.266,353.756,0.528,4.984,360.317,949.555,0,1,0,0,0,0
1981,2.684,25.025,957.291,356.163,2.39,22.692,361.727,972.247,0,1,0,0,0,0
1982,6.807,65.16,1022.452,372.805,7.738,75.233,381.93,1047.479,0,1,0,0,0,0
1983,7.618,77.889,1100.34,393.276,8.603,90.118,406.592,1137.598,0,1,0,0,0,0
1984,22.962,252.66,1353.001,474.21,22.523,256.222,488.516,1393.819,0,1,0,0,0,0
1985,59.48,804.771,2157.772,741.539,101.519,1414.997,965.277,2808.816,0,1,0,0,0,0
1986,12.499,269.702,2427.474,817.801,9.328,262.001,1034.539,3070.817,0,1,0,0,0,0
1987,6.554,159.092,2586.566,854.04,5.59,171.655,1070.609,3242.472,0,1,0,0,0,0
1988,7.369,190.614,2777.18,898.99,5.193,168.366,1104.108,3410.838,0,1,0,0,0,0
1989,8.478,235.449,3012.63,956.481,4.613,157.35,1132.865,3568.187,0,1,0,0,0,0
1990,3.975,119.744,3132.374,975.646,1.094,39.049,1123.552,3607.237,0,1,0,0,0,0
1991,5.871,183.888,3316.262,1014.441,4.085,147.342,1148.521,3754.579,0,1,0,0,0,0
1992,6.426,213.118,3529.38,1061.667,-2.931,-110.063,1096.3,3644.516,0,1,0,0,0,0
1993,-0.444,-15.654,3513.726,1040.107,2.585,94.208,1106.709,3738.724,0,1,0,0,0,0
1994,8.062,283.271,3796.997,1106.618,0.885,33.094,1099.28,3771.818,0,1,0,0,0,0
1995,6.241,236.961,4033.958,1158.08,6.264,236.267,1150.652,4008.085,0,1,0,0,0,0
1996,7.01,282.785,4316.743,1221.301,8.206,328.902,1227.029,4336.987,0,1,0,0,0,0
1997,5.134,221.634,4538.377,1265.865,2.756,119.531,1243.032,4456.518,0,1,0,0,0,0
1998,4.418,200.515,4738.892,1303.525,3.424,152.581,1267.823,4609.099,0,1,0,0,0,0
1999,7.938,376.163,5115.055,1387.987,8.779,404.652,1360.498,5013.751,0,1,0,0,0,0
2000,5.478,280.178,5395.233,1444.472,11.182,560.639,1492.438,5574.39,0,1,0,0,0,0
2001,6.461,348.579,5743.812,1517.433,5.238,291.976,1549.811,5866.366,0,1,0,0,0,0
2002,5.766,331.188,6074.999,1584.223,7.684,450.753,1647.362,6317.119,0,1,0,0,0,0
2003,7.053,428.451,6503.45,1674.718,6.102,385.46,1725.996,6702.579,0,1,0,0,0,0
2004,7.456,484.887,6988.337,1777.568,7.704,516.395,1836.234,7218.974,0,1,0,0,0,0
2005,7.628,533.071,7521.409,1890.12,8.067,582.38,1960.47,7801.354,0,1,0,0,0,0
2006,6.064,456.131,7977.54,1980.87,5.169,403.214,2037.242,8204.568,0,1,0,0,0,0
2007,7.873,628.035,8605.575,2111.799,7.364,604.181,2161.657,8808.749,0,1,0,0,0,0
2008,6.908,594.491,9200.066,2231.514,6.818,600.546,2282.263,9409.295,0,1,0,0,0,0
2009,2.83,260.327,9460.394,2267.951,0.498,46.901,2266.945,9456.196,0,1,0,0,0,0
2010,9.918,938.278,10398.67,2464.116,11.171,1056.377,2491.107,10512.57,0,1,0,0,0,0
2011,7.322,761.431,11160.1,2614.538,6.188,650.535,2615.243,11163.11,0,1,0,0,0,0
2012,5.185,578.622,11738.73,2719.082,3.133,349.791,2666.773,11512.9,0,1,0,0,0,0
2013,2.641,309.972,12048.7,2760.115,2.292,263.853,2697.819,11776.75,0,1,0,0,0,0
2014,4.258,513.067,12561.76,2846.861,3.786,445.895,2770.007,12222.65,0,1,0,0,0,0
2015,3.484,437.667,12999.43,2915.814,2.481,303.3,2809.61,12525.95,0,1,0,0,0,0
2016,2.77,360.037,13359.47,2966.822,1.812,226.986,2832.125,12752.93,0,1,0,0,0,0
2017,4.463,596.28,13955.75,3069.157,1.687,215.169,2851.953,12968.1,0,1,0,0,0,0
2018,5.147,718.368,14674.12,3197.809,2.924,379.142,2908.655,13347.24,0,1,0,0,0,0
2019,2.383,349.613,15023.73,3246.451,1.823,243.263,2936.749,13590.51,0,1,0,0,0,0
2020,2.13,320.062,15343.79,3290.48,-0.431,-58.622,2901.916,13531.88,0,1,0,0,0,0
2021,6.074,932.006,16275.8,3467.855,4.996,676.063,3027.262,14207.95,0,1,0,0,0,0
2022,-1.797,-292.482,15983.32,3385.303,1.164,165.359,3044.3,14373.31,0,1,0,0,0,0
1965,12.596742690058477,96.79230409356725,1595.904,2513.688,16.174,248.563,2812.15,1785.393,0,0,1,0,0,0
1966,11.951,190.731,1786.635,2792.108,12.532,223.742,3139.825,2009.134,0,0,1,0,0,0
1967,12.434,222.152,2008.786,3115.642,12.503,251.205,3505.802,2260.339,0,0,1,0,0,0
1968,13.502,271.222,2280.008,3511.795,13.194,298.229,3940.849,2558.569,0,0,1,0,0,0
1969,13.331,303.957,2583.965,3954.78,13.973,357.506,4463.076,2916.074,0,0,1,0,0,0
1970,15.336,396.271,2980.236,4535.005,0.283,8.248,4449.923,2924.323,0,0,1,0,0,0
1971,14.346,427.541,3407.776,5154.544,12.634,369.448,4982.101,3293.77,0,0,1,0,0,0
1972,11.674,397.814,3805.59,5718.843,10.542,347.246,5471.529,3641.016,0,0,1,0,0,0
1973,10.846,412.757,4218.347,6300.177,9.177,334.137,5936.963,3975.153,0,0,1,0,0,0
1974,9.204,388.257,4606.604,6839.169,10.629,422.501,6528.954,4397.654,0,0,1,0,0,0
1975,8.313,382.961,4989.565,7365.583,7.93,348.732,7006.603,4746.386,0,0,1,0,0,0
1976,9.449,471.453,5461.018,8018.993,9.025,428.354,7598.621,5174.74,0,0,1,0,0,0
1977,6.067,331.296,5792.314,8462.042,5.789,299.554,7997.443,5474.293,0,0,1,0,0,0
1978,5.482,317.52,6109.833,8882.975,5.448,298.249,8392.593,5772.542,0,0,1,0,0,0
1979,5.904,360.7,6470.533,9364.561,6.942,400.748,8934.371,6173.29,0,0,1,0,0,0
1980,1.686,109.083,6579.617,9479.119,3.801,234.643,9231.778,6407.933,0,0,1,0,0,0
1981,2.959,194.659,6774.275,9717.562,3.86,247.341,9546.858,6655.274,0,0,1,0,0,0
1982,3.899,264.13,7038.406,10056.06,3.154,209.94,9808.614,6865.215,0,0,1,0,0,0
1983,5.97,420.163,7458.569,10613.82,5.507,378.038,10307.41,7243.253,0,0,1,0,0,0
1984,7.455,556.005,8014.574,11359.83,7.212,522.414,11007.03,7765.667,0,0,1,0,0,0
1985,-4.257,-341.203,7673.371,10834.3,-10.811,-839.521,9779.263,6926.146,0,0,1,0,0,0
1986,1.854,142.269,7815.64,10990.47,4.087,283.08,10137.72,7209.226,0,0,1,0,0,0
1987,5.125,400.548,8216.188,11503.71,5.489,395.69,10647.85,7604.917,0,0,1,0,0,0
1988,3.13,257.191,8473.379,11814.34,3.604,274.117,10985.65,7879.034,0,0,1,0,0,0
1989,1.981,167.851,8641.229,12003.61,3.302,260.187,11306.27,8139.22,0,0,1,0,0,0
1990,4.914,424.67,9065.899,12551.67,3.546,288.641,11668.31,8427.861,0,0,1,0,0,0
1991,1.835,166.373,9232.272,12744.68,-0.01,-0.868,11633.03,8426.993,0,0,1,0,0,0
1992,-4.181,-385.971,8846.302,12183.81,-0.307,-25.843,11570.71,8401.15,0,0,1,0,0,0
1993,-0.047,-4.184,8842.118,12157.99,-1.626,-136.641,11363.77,8264.51,0,0,1,0,0,0
1994,-4.56,-403.236,8438.882,11593.34,-1.205,-99.565,11217.0,8164.944,0,0,1,0,0,0
1995,1.17,98.769,8537.65,11724.91,-1.106,-90.341,11089.0,8074.604,0,0,1,0,0,0
1996,6.214,530.508,9068.158,12450.55,5.548,448.007,11701.51,8522.61,0,0,1,0,0,0
